Index,Continent,Companycountry,Metal,Mine,Status
307,North America,Canada,Au,Venice,"Closed, reopen/plans"
308,Africa,Zimbabwe,Au,Vubachikwe,Operating
309,Africa,Zimbabwe,Cr,Zimbabwe,Active
310,Asia,China,Cr,Zimbabwe,Active
311,Oceania,Australia,Au,Afrikaner,Closed
312,Africa,South Africa,Dia,Agisanang,Suspended
313,Africa,South Africa,Dia,Alexkor,Active
314,Europe,UK,Cu,Amandelbult,Operating
315,Europe,UK,Au,Amandelbult,Operating
316,Europe,UK,Ni,Amandelbult,Operating
317,Europe,UK,PGM,Amandelbult,Operating
318,Africa,South Africa,Coal,Arnot,Operating
319,Europe,Switzerland,Coal,ATC,Operating
320,Europe,Switzerland,Coal,ATCOM,"Operating, exp/constr"
321,North America,Canada,Coal,Aviemore,Operating
322,Africa,South Africa,Cu,Bafokeng-Rasimone,Operating
323,Africa,South Africa,Au,Bafokeng-Rasimone,Operating
324,Africa,South Africa,Ni,Bafokeng-Rasimone,Operating
325,Africa,South Africa,PGM,Bafokeng-Rasimone,Operating
326,Africa,South Africa,Dia,Baken,Operating
327,Africa,South Africa,Au,Balmoral,Active
328,Africa,South Africa,Au,Bambanani,Operating
329,Europe,UK,Coal,Bank,Suspended
330,Africa,South Africa,Coal,Bankfontein,Operating
331,Africa,South Africa,Au,Barberton,Closed
332,Africa,South Africa,Au,Barberton,Operating
333,Oceania,Australia,Au,Barbrook,Operating
334,Europe,UK,Cu,Bathopele,"Operating, exp/plans"
335,Europe,UK,Au,Bathopele,"Operating, exp/plans"
336,Europe,UK,Ni,Bathopele,"Operating, exp/plans"
337,Europe,UK,PGM,Bathopele,"Operating, exp/plans"
338,Africa,South Africa,Au,Beatrix,"Operating, exp/constr"
339,Africa,South Africa,Fe,Beeshoek,Operating
340,Africa,South Africa,Au,Benoni,Closed
341,Africa,South Africa,Coal,Black,Operating
342,Europe,UK,Cu,Black,Operating
343,Europe,UK,Pb,Black,Operating
344,Europe,UK,Ag,Black,Operating
345,Europe,UK,Zn,Black,Operating
346,Africa,South Africa,Mn,Black,Operating
347,Europe,UK,Coal,Black,Operating
348,Africa,South Africa,Dia,Bloeddrift,Operating
349,North America,Canada,Au,Blue,Suspended
350,Oceania,Australia,Au,Blue,"Susp, restart/plans"
351,Oceania,Australia,PGM,Blue,"Susp, restart/plans"
352,Africa,South Africa,Au,Blyvooruitzicht,Operating
353,Africa,South Africa,U,Blyvooruitzicht,Operating
354,Africa,South Africa,Dia,Bokang,Suspended
355,Europe,UK,Cu,Bokoni,Operating
356,Europe,UK,Au,Bokoni,Operating
357,Europe,UK,Ni,Bokoni,Operating
358,Europe,UK,PGM,Bokoni,Operating
359,Europe,Switzerland,Coal,Boschmans,Operating
360,Europe,Switzerland,Cr,Boshoek,Operating
361,Africa,South Africa,Coal,Bosjesspruit,Operating
362,Africa,South Africa,Au,Bracken,Suspended
363,Africa,South Africa,Coal,Brandspruit,Operating
364,Africa,South Africa,Au,Buffelsfontein,Operating
365,Africa,South Africa,Au,Buffelsfontein,"Susp, restart/feasib"
366,Europe,UK,Cr,Buffelsfontein,"Operating, exp/plans"
367,Africa,South Africa,Au,Buffelsfontein,Suspended
368,Africa,South Africa,U,Buffelsfontein,Suspended
369,North America,Canada,Au,Burnstone,Suspended
370,Africa,South Africa,Au,Central,Operating
371,Europe,Germany,Cr,Chrome,Operating
372,Europe,Switzerland,Cr,Chrome,Suspended
373,Africa,South Africa,Au,City,Closed
374,Europe,Switzerland,Cr,CMI,Suspended
375,Africa,South Africa,Mn,Consolidated,Non-active
376,Africa,South Africa,Sb,Consolidated,Operating
377,Africa,South Africa,Au,Consolidated,Operating
378,Oceania,Australia,Au,Cooke,Operating
379,Oceania,Australia,U,Cooke,Operating
380,North America,Canada,Au,Crocodile,"Operating, exp/plans"
381,North America,Canada,PGM,Crocodile,"Operating, exp/plans"
382,Africa,South Africa,Au,Crown,Operating
383,Africa,South Africa,Dia,Cullinan,"Operating, exp/plans"
384,Africa,South Africa,Au,Daggafontein,Suspended
385,Africa,South Africa,Au,Deelkraal,Operating
386,Africa,South Africa,Coal,Delmas,Operating
387,Asia,China,Cr,Dilokong,Operating
388,Europe,UK,Cu,Dishaba,Operating
389,Europe,UK,Au,Dishaba,Operating
390,Europe,UK,Ni,Dishaba,Operating
391,Europe,UK,PGM,Dishaba,Operating
392,Africa,South Africa,U,Dominion,Suspended
393,Africa,South Africa,Au,Doornfontein,Closed
394,Africa,South Africa,Ag,Doornfontein,Closed
395,Africa,South Africa,Au,Doornkop,Operating
396,Europe,France,Coal,Dorstfontein,Operating
397,Africa,South Africa,Au,Droogebult,Suspended
398,Africa,South Africa,Au,Durban,Closed
399,Africa,South Africa,Ag,Durban,Closed
400,Africa,South Africa,Cr,Dwarsrivier,Operating
401,Africa,South Africa,Au,East,"Susp, restart/plans"
402,Africa,South Africa,Ag,East,"Susp, restart/plans"
403,Europe,UK,Au,Eastern,Operating
404,Europe,UK,PGM,Eastern,Operating
405,Africa,South Africa,Coal,Eastside,Operating
406,North America,Canada,Au,Eersteling,"Susp, restart/plans"
407,Africa,South Africa,Au,Eland,Closed
408,Europe,UK,Cr,Elandsdrift,Operating
409,Africa,South Africa,Coal,Elandsfontein,Operating
410,Europe,Switzerland,PGM,Elandsfontein,"Operating, exp/plans"
411,Africa,South Africa,Au,Elandsrand,"Operating, exp/plans"
412,Africa,South Africa,Coal,ElCoal,Closed
413,Africa,South Africa,U,Ergo,Operating
414,Africa,South Africa,Au,Ergo,Operating
415,Africa,South Africa,Au,Evander,"Operating, exp/plans"
416,Africa,South Africa,Au,Evander,"Closed, reopen/plans"
417,Oceania,Australia,Au,Everest,Suspended
418,Oceania,Australia,PGM,Everest,Suspended
419,Oceania,Australia,Coal,Ferreira,"Operating, exp/constr"
420,Africa,South Africa,Dia,Finsch,Operating
421,Europe,France,Coal,Forzando,Operating
422,Africa,South Africa,Au,Free,Closed
423,Africa,South Africa,Au,Freegold,Closed
424,Africa,South Africa,Ag,Freegold,Closed
425,Africa,South Africa,U,Freegold,Closed
426,Africa,South Africa,Au,Freegold,Operating
427,Africa,South Africa,Au,Galaxy,"Susp, restart/plans"
428,Oceania,Australia,Coal,Geluk,Closed
429,Europe,UK,Coal,Goedehoop,Operating
430,Europe,Switzerland,Coal,Goedgevonden,Operating
431,Africa,South Africa,Coal,Golfview,Operating
432,Africa,South Africa,Cr,Goudini,Suspended
433,Africa,South Africa,Coal,Graspan,Operating
434,Africa,South Africa,Au,Great,Operating
435,Europe,UK,Coal,Greenside,Operating
436,Africa,South Africa,Coal,Groenvallei,Operating
437,Africa,South Africa,Coal,Grootegeluk,"Operating, exp/constr"
