Latitude,Longitude,country,shortname
-24.75,27.3833,South Africa,Dishaba
-26.851,26.512,South Africa,Dominion
-26.43,27.3,South Africa,Doornfontein
-26.43,27.3,South Africa,Doornfontein
-26.2333,27.7333,South Africa,Doornkop
-26.2167,29.2833,South Africa,Dorstfontein
-26.8583,26.9583,South Africa,Droogebult
-26.2167,27.7667,South Africa,Durban
-26.2167,27.7667,South Africa,Durban
-30.0828,24.9008,South Africa,Dwarsrivier
,,South Africa,East
,,South Africa,East
-26.25,28.25,South Africa,East
-26.25,28.25,South Africa,East
-26.05,23.6667,South Africa,Eastern
-26.05,23.6667,South Africa,Eastern
-26.05,23.6667,South Africa,Eastern
-26.05,23.6667,South Africa,Eastern
-26.05,23.6667,South Africa,Eastern
-26.75,29.3167,South Africa,Eastside
-24.1211,29.2714,South Africa,Eersteling
-26.2333,28.3667,South Africa,Egoli
-27.9672,26.6818,South Africa,Eland
-24.7347,27.5222,South Africa,Elandsdrift
-25.9103,29.1089,South Africa,Elandsfontein
-25.659,27.85,South Africa,Elandsfontein
-25.659,27.85,South Africa,Elandsfontein
-25.659,27.85,South Africa,Elandsfontein
-25.659,27.85,South Africa,Elandsfontein
-26.4667,27.3833,South Africa,Elandsrand
-27.1667,28.9331,South Africa,Elcoal
-26.2917,28.3917,South Africa,Ergo
-26.25,28.25,South Africa,Ergo
-26.5,29.1,South Africa,Evander
-28.05,26.8389,South Africa,Evander
-24.95,29.9,South Africa,Everest
-24.95,29.9,South Africa,Everest
-24.95,29.9,South Africa,Everest
-24.95,29.9,South Africa,Everest
-24.95,29.9,South Africa,Everest
-26.555,30.038,South Africa,Ferreira
-28.3667,23.5,South Africa,Finsch
-28.3667,23.5,South Africa,Finsch
-26.2333,29.5333,South Africa,Forzando
-27.8667,26.7167,South Africa,Freddies
-27.9167,26.7333,South Africa,Free
-27.8333,26.6667,South Africa,Free
-28.1667,26.8,South Africa,Free
,,South Africa,Free
-28.0333,26.75,South Africa,Freegold
-28.0333,26.75,South Africa,Freegold
-28.0333,26.75,South Africa,Freegold
-27.9167,26.7333,South Africa,Freegold
-30.9958,25.8422,South Africa,Galaxy
-27.1667,29,South Africa,Geluk
,,South Africa,General
-26.0892,28.9686,South Africa,Goedehoop
-26.0833,29.05,South Africa,Goedgevonden
-26.4833,29.9,South Africa,Golfview
,,South Africa,Goudini
-25.7833,29.4,South Africa,Graspan
-26.9167,26.75,South Africa,Great
-25.9631,29.1775,South Africa,Greenside
,,South Africa,Groenvallei
-23.6667,27.5167,South Africa,Grootegeluk
-26.2167,28.4333,South Africa,Grootvlei
-26.2,29.5167,South Africa,Halfgewonnen
-26.25,27.7333,South Africa,Harmony
-27.0667,27.2,South Africa,Harmony
-27.9267,26.7389,South Africa,Harmony/Free
-28.05,26.8333,South Africa,Harmony/Free
-28.05,26.8333,South Africa,Harmony/Free
-28.05,26.8333,South Africa,Harmony/Free
-26.8333,26.8333,South Africa,Hartebeest
-26.8333,26.8333,South Africa,Hartebeest
-24.7167,30.1833,South Africa,Helena
-25.6333,27.7833,South Africa,Hernic
,,South Africa,Highveld
-29.3333,27.3667,South Africa,Hillendale
-29.3333,27.3667,South Africa,Hillendale
-28.3333,24.6167,South Africa,Holpan/Klipdam
-30.3167,17.2833,South Africa,Hondeklip
-25.3,27.0333,South Africa,Horizon
-27.2492,22.915,South Africa,Hotazel
-26.15,29.4167,South Africa,Ilanga
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-25.5833,27.1667,South Africa,Impala
-26.11,29.26,South Africa,iMpunzi
-25.778,29.214,South Africa,Inyanda
-29.2667,26.8667,South Africa,Isibonelo
-28.3033,26.8333,South Africa,Joel
-26.1667,25.2583,South Africa,Kalahari
-26.3833,27.6333,South Africa,KDC
-26.3833,27.6333,South Africa,KDC
-26.3833,27.45,South Africa,KDC
-26.3833,27.45,South Africa,KDC
-26.3833,27.45,South Africa,KDC
-26.0667,28.9833,South Africa,Kendal
-24.8292,30.0986,South Africa,Kennedy's
-25.6667,27.3333,South Africa,Khomanani
-25.6667,27.3333,South Africa,Khomanani
-25.6667,27.3333,South Africa,Khomanani
-25.6667,27.3333,South Africa,Khomanani
-25.6667,27.3333,South Africa,Khomanani
-25.6667,27.3333,South Africa,Khomanani
-25.6667,27.3333,South Africa,Khomanani
-27.832,23.028,South Africa,Khumani
-25.6333,27.25,South Africa,Khuseleka
-25.6333,27.25,South Africa,Khuseleka
-25.6333,27.25,South Africa,Khuseleka
-25.6333,27.25,South Africa,Khuseleka
-25.6333,27.25,South Africa,Khuseleka
-25.6333,27.25,South Africa,Khuseleka
-25.6333,27.25,South Africa,Khuseleka
-26.0983,29.0219,South Africa,Khutala
-28.7333,24.7667,South Africa,Kimberley
-28.7333,24.7667,South Africa,Kimberley
-28.75,24.75,South Africa,Kimberley
-26.4667,29.1667,South Africa,Kinross
-26.0031,29.2358,South Africa,Kleinkopje
-25.92,28.85,South Africa,Klip
-26.09,27.175,South Africa,Klipgat
-24.2333,29.2167,South Africa,Klipspringer
-24.2333,29.2167,South Africa,Klipspringer
-26.0333,29.1167,South Africa,Klipspruit
-27.4333,31.2333,South Africa,Klipwal
-26.1833,28.15,South Africa,Knights
-29.4167,24.9917,South Africa,Koffiefontein
-29.4167,24.9917,South Africa,Koffiefontein
-27.7,22.9667,South Africa,Kolomela
-23.6667,27.5167,South Africa,Koornfontein
-26.9167,26.75,South Africa,Kopanang
-25.8167,29.6833,South Africa,Kopermyne
-26.2925,29.2453,South Africa,Kriel
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-25.7333,27.3333,South Africa,Kroondal
-26.4667,27.3833,South Africa,Kusasalethu
-26.4667,27.3833,South Africa,Kusasalethu
-26.1072,28.9228,South Africa,Lakeside
-25.7606,29.0994,South Africa,Landau
-24.7575,30.1722,South Africa,Lavino
-26.3833,27.6333,South Africa,Leeudoorn
-27.7667,30.95,South Africa,Leeuw
-26.1167,28.9333,South Africa,Leeuwfontein
-26.1717,28.7228,South Africa,Leeuwpan
-26.5,29.0333,South Africa,Leslie
-26.3667,27.6167,South Africa,Libanon
-26.3667,27.6167,South Africa,Libanon
-25.6769,31.2669,South Africa,Lily
-26.1211,27.7217,South Africa,Lindum
-24.3333,29.5,South Africa,Lonmin
-24.3333,29.5,South Africa,Lonmin
-24.3333,29.5,South Africa,Lonmin
-24.3333,29.5,South Africa,Lonmin
-24.3333,29.5,South Africa,Lonmin
-24.3333,29.5,South Africa,Lonmin
-24.3333,29.5,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-25.5667,27.5667,South Africa,Lonmin
-28.308,16.785,South Africa,Lower
-25.9408,29.7533,South Africa,Mafube
-27.964,30.177,South Africa,Magdalena
-26.2258,29.5353,South Africa,Magdelena
-27.9697,31.0639,South Africa,Magdelena
-26.1539,27.7469,South Africa,Makonjwaan
,,South Africa,Maleka
-25.2,29.9167,South Africa,Mapochs
-23.9667,30.4833,South Africa,Maranda
-23.9667,30.4833,South Africa,Maranda
-25.1,26.25,South Africa,Marico
-26.35,28.4833,South Africa,Marievale
-25.75,27.5167,South Africa,Marikana
-25.75,27.5167,South Africa,Marikana
-25.75,27.5167,South Africa,Marikana
-25.75,27.5167,South Africa,Marikana
-25.75,27.5167,South Africa,Marikana
-24.2667,29.2667,South Africa,Marsfontein
-24.2667,29.2667,South Africa,Marsfontein
-24.5,30.0833,South Africa,Marula
-24.5,30.0833,South Africa,Marula
-24.5,30.0833,South Africa,Marula
-24.5,30.0833,South Africa,Marula
-24.5,30.0833,South Africa,Marula
