Index,Companycountry,Metal,Mine,Status
379,Australia,Au,Cooke,Operating
380,Australia,U,Cooke,Operating
381,Canada,Au,Crocodile,"Operating, exp/plans"
382,Canada,PGM,Crocodile,"Operating, exp/plans"
383,Canada,PGM,Crocodile,"Operating, exp/plans"
384,Canada,PGM,Crocodile,"Operating, exp/plans"
385,Canada,PGM,Crocodile,"Operating, exp/plans"
386,South Africa,Au,Crown,Operating
387,South Africa,Dia,Cullinan,"Operating, exp/plans"
388,South Africa,Au,Daggafontein,Suspended
389,South Africa,Au,Deelkraal,Operating
390,South Africa,coal,Delmas,Operating
391,South Africa,coal,Delmas,Operating
392,China,Cr,Dilokong,Operating
393,UK,Cu,Dishaba,Operating
394,UK,Au,Dishaba,Operating
395,UK,Ni,Dishaba,Operating
396,UK,PGM,Dishaba,Operating
397,UK,PGM,Dishaba,Operating
398,UK,PGM,Dishaba,Operating
399,UK,PGM,Dishaba,Operating
400,South Africa,U,Dominion,Suspended
401,South Africa,Au,Doornfontein,Closed
402,South Africa,Ag,Doornfontein,Closed
403,South Africa,Au,Doornkop,Operating
404,France,coal,Dorstfontein,Operating
405,South Africa,Au,Droogebult,Suspended
406,South Africa,Au,Durban,Closed
407,South Africa,Ag,Durban,Closed
408,South Africa,Cr,Dwarsrivier,Operating
409,South Africa,Au,East,"Susp, restart/plans"
410,South Africa,Ag,East,"Susp, restart/plans"
411,UK,Au,Eastern,Operating
412,UK,PGM,Eastern,Operating
413,UK,PGM,Eastern,Operating
414,UK,PGM,Eastern,Operating
415,UK,PGM,Eastern,Operating
416,South Africa,coal,Eastside,Operating
417,Canada,Au,Eersteling,"Susp, restart/plans"
418,South Africa,Au,Eland,Closed
419,UK,Cr,Elandsdrift,Operating
420,South Africa,coal,Elandsfontein,Operating
421,Switzerland,PGM,Elandsfontein,"Operating, exp/plans"
422,Switzerland,PGM,Elandsfontein,"Operating, exp/plans"
423,Switzerland,PGM,Elandsfontein,"Operating, exp/plans"
424,Switzerland,PGM,Elandsfontein,"Operating, exp/plans"
425,South Africa,Au,Elandsrand,"Operating, exp/plans"
426,South Africa,coal,Elcoal,Closed
427,South Africa,U,Ergo,Operating
428,South Africa,Au,Ergo,Operating
429,South Africa,Au,Evander,"Operating, exp/plans"
430,South Africa,Au,Evander,"Closed, reopen/plans"
431,Australia,Au,Everest,Suspended
432,Australia,PGM,Everest,Suspended
433,Australia,PGM,Everest,Suspended
434,Australia,PGM,Everest,Suspended
435,Australia,PGM,Everest,Suspended
436,Australia,coal,Ferreira,"Operating, exp/constr"
437,South Africa,Dia,Finsch,Operating
438,France,coal,Forzando,Operating
439,South Africa,Au,Free,Closed
440,South Africa,Au,Free,Closed
441,South Africa,Au,Freegold,Closed
442,South Africa,Ag,Freegold,Closed
443,South Africa,U,Freegold,Closed
444,South Africa,Au,Freegold,Operating
445,South Africa,Au,Galaxy,"Susp, restart/plans"
446,Australia,coal,Geluk,Closed
447,UK,coal,Goedehoop,Operating
448,Switzerland,coal,Goedgevonden,Operating
449,South Africa,coal,Golfview,Operating
450,South Africa,Cr,Goudini,Suspended
451,South Africa,coal,Graspan,Operating
452,South Africa,Au,Great,Operating
453,UK,coal,Greenside,Operating
454,South Africa,coal,Groenvallei,Operating
455,South Africa,coal,Grootegeluk,"Operating, exp/constr"
456,South Africa,Au,Grootvlei,Operating
457,South Africa,coal,Halfgewonnen,Operating
458,South Africa,Au,Harmony,Closed
459,South Africa,Au,Harmony,Operating
460,South Africa,Au,Harmony/Free,Operating
461,South Africa,Au,Harmony/Free,Closed
462,South Africa,Ag,Harmony/Free,Closed
463,South Africa,U,Harmony/Free,Closed
464,South Africa,Au,Hartebeest,Suspended
465,South Africa,U,Hartebeest,Suspended
466,Switzerland,Cr,Helena,Operating
467,Japan,Cr,Hernic,Operating
468,Russia,V,Highveld,Operating
469,South Africa,Ti,Hillendale,Operating
470,South Africa,Zr,Hillendale,Operating
471,Canada,Dia,Holpan/Klipdam,Operating
472,South Africa,Dia,Hondeklip,"Closed, reclamation"
473,Switzerland,Cr,Horizon,"Susp, restart/plans"
474,Australia,Mn,Hotazel,Operating
475,India,coal,Ilanga,Operating
476,South Africa,Co,Impala,"Operating, exp/constr"
477,South Africa,Cu,Impala,"Operating, exp/constr"
478,South Africa,Au,Impala,"Operating, exp/constr"
479,South Africa,Ni,Impala,"Operating, exp/constr"
480,South Africa,PGM,Impala,"Operating, exp/constr"
481,South Africa,PGM,Impala,"Operating, exp/constr"
482,South Africa,PGM,Impala,"Operating, exp/constr"
483,South Africa,PGM,Impala,"Operating, exp/constr"
484,Switzerland,coal,iMpunzi,"Operating, exp/constr"
485,South Africa,coal,Inyanda,Operating
486,UK,coal,Isibonelo,Operating
487,South Africa,Au,Joel,"Operating, exp/feasib"
488,South Africa,Au,Kalahari,Operating
489,South Africa,Au,KDC,"Operating, exp/plans"
490,South Africa,Ag,KDC,"Operating, exp/plans"
491,South Africa,Au,KDC,"Operating, exp/plans"
492,South Africa,Ag,KDC,"Operating, exp/plans"
493,South Africa,U,KDC,"Operating, exp/plans"
494,Canada,coal,Kendal,Operating
495,Switzerland,V,Kennedy's,Closed
496,UK,Cu,Khomanani,Operating
497,UK,Au,Khomanani,Operating
498,UK,Ni,Khomanani,Operating
499,UK,PGM,Khomanani,Operating
500,UK,PGM,Khomanani,Operating
501,UK,PGM,Khomanani,Operating
502,UK,PGM,Khomanani,Operating
503,South Africa,Fe,Khumani,"Operating, exp/feasib"
