Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Gold  (t),Lero-Fayalala (LEFA) Gold Mines,Operating: exp/plans,Severstal (100%),Russia,Major company,,,,,,,Russia,11.3167,-10.8167,Guinea,Lero-Fayalala,Au,GIN
Gold  (t),Siguiri Gold Mine,Operating,Anglogold (100%),South Africa,Major company,,,,,,,South Africa,11.8167,-10.05,Guinea,Siguiri,Au,GIN
Gold  (t),Lolgorien Gold Tailings Mine,Operating,Goldplat (100%),South Africa,Company ,,,,,,,South Africa,,,Kenya,Lolgorien,Au,GIN
Diamond carats  (Mct),Letseng Diamond Mine,Operating: exp/feasib,Gem Diamonds (70%),UK,Company ,State of Lesotho (30%),Lesotho ,Government organ,,,,UK,,,Lesotho,Letseng,Dia,LSO
Diamond value  (M USD),Letseng Diamond Mine,Operating: exp/feasib,Gem Diamonds (70%),UK,Company ,State of Lesotho (30%),Lesotho ,Government organ,,,,UK,,,Lesotho,Letseng,Dia,LSO
Diamond carats  (Mct),Liqhobong (Satellite) Diamond Mine,Operating,Firestone Diamon (75%),UK,Company ,State of Lesotho (25%),Lesotho ,Government organ,,,,UK,,,Lesotho,Liqhobong,Dia,LSO
Diamond value  (M USD),Liqhobong (Satellite) Diamond Mine,Operating,Firestone Diamon (75%),UK,Company ,State of Lesotho (25%),Lesotho ,Government organ,,,,UK,,,Lesotho,Liqhobong,Dia,LSO
Iron ore  (Mt),Bong Mining Co,Non-active,,MISSING,,,,,,,,,7.6667,-10,Liberia,Bong,Fe,LBR
Iron ore  (Mt),Lamco Iron Ore Mines,Closed,State of Liberia (100%),Liberia ,Government organ,,,,,,,Liberia,5.95,-10.0333,Liberia,Lamco,Fe,LBR
Iron ore  (Mt),Liberia Mining Co,Active,,MISSING,,,,,,,,,,,Liberia,Liberia,Fe,LBR
Iron ore  (Mt),Liberian Iron Mining Corp,Active,State of Liberia (100%),Liberia ,Government organ,,,,,,,Liberia,,,Liberia,Liberian,Fe,LBR
Iron ore  (Mt),National Iron Ore Co Ltd,Active,,MISSING,,,,,,,,,,,Liberia,National,Fe,LBR
Iron ore  (Mt),Yekepa (Nimba) Iron Ore Mine,Operating,Arcelor Mittal (100%),UK,Steel company,,,,,,,UK,7.56,-8.54,Liberia,Yekepa,Fe,LBR
Cobalt  (kt),Ambatovy Nickel Mine,Operating,Sherritt (40%),Canada,Major company,NSSMC (28%),Japan ,Steel company,Kores (18%),Korea (South),Non-mining compa,Canada,,,Madagascar,Ambatovy,Co,MDG
