A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
115,Gold  (t),Operating,0.18,0.34,0.39,0.355,0.3,0.35,0.25,0.2,0.48,  ..   , ---  , ---  ,0.3,0.144,0.068,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Vubachikwe,Au
116,Chromite  (kt),Active,96,101,68,65,20,53,49,92,18,20,20,20,20,25,25,25,25,  ..   ,  ..   ,  ..   ,50,  ..   ,  ..   ,Zimbabwe,Zimbabwe,Zimbabwe,Cr
117,Chromite  (kt),Active,450,380,360,100,350,450,450,500,500,590,621,600,550,560,560,560,550,600,440,190,400,  ..   ,  ..   ,China,Zimbabwe,Zimbabwe,Cr
,Gold  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,0.187,0.171,0.431,0.102,0.194,0.155,0.996,  ..   ,  ..   ,1.222, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Australia,South Africa,Afrikaner,Au
,Diamond carats  (Mct),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.01, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Agisanang,Dia
,Diamond carats  (Mct),Active,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.17,  ..   ,  ..   ,0.13,0.17,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Alexkor,Dia
,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.1,2.3,2.5,2.3,2.3,2.1,2.3,2.3,1.9,1.7,2,1.1, ---  , ---  ,  ..   ,  ..   ,UK,South Africa,Amandelbult,Cu
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.572,0.647,0.787,0.687,0.715,0.734,0.75,0.616,0.644,0.603,0.579,0.36, ---  , ---  , ---  , ---  ,UK,South Africa,Amandelbult,Au
,Nickel  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.1,4.5,4.3,4.1,4.2,4.2,3.9,4,3.6,3.7,3.8,2.2, ---  , ---  , ---  , ---  ,UK,South Africa,Amandelbult,Ni
,Palladium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,7.54,7.9,8.94,8.12,9.31,9.79,8.62,8.46,7.94,9.27,8.69,6.76, ---  , ---  , ---  , ---  ,UK,South Africa,Amandelbult,PGM
,Platinum  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,17.18,17.25,19.83,17.75,21.13,22.11,19.74,18.84,17.07,20.15,17.85,14.34, ---  , ---  , ---  , ---  ,UK,South Africa,Amandelbult,PGM
,PGMs  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,30.03,34.83,30.54,36.47,38.21,34.28,32.61,30.88,35.45,33.34,26.07, ---  , ---  , ---  , ---  ,UK,South Africa,Amandelbult,PGM
,Rhodium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.61,1.84,1.81,1.78,2.27,2.24,2.06,2.02,2.3,2.24,2.32,1.78, ---  , ---  , ---  , ---  ,UK,South Africa,Amandelbult,PGM
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,4.472,4.7,5.11,6.2,6.1,4.976,3.985,3.61,4.865,5.213,4.173,2.291,2.081,South Africa,South Africa,Arnot,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.21,1.705,1.52,1.638,1.796,1.448,1.616,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Switzerland,South Africa,ATC,coal
,Coal  (Mt),"Operating, exp/constr",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.96,2.325,2.328,2.368,2.352,2.148,1.95,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Switzerland,South Africa,ATCOM,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.195,0.116,0.061,0.102,0.02,0.092,  ..   ,Canada,South Africa,Aviemore,coal
,Copper  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.5,0.6,1,1.3,1.3,1.2,1.4,1.5,1,1,1,1,1,South Africa,South Africa,Bafokeng-Rasimone,Cu
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.006,0.22,0.19,0.29,0.336,0.314,0.398,0.435,0.379,0.29,0.305,0.3,0.3,0.28,South Africa,South Africa,Bafokeng-Rasimone,Au
,Nickel  (kt),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.6,1,1.7,2,2.2,2.2,2.7,2.3,1.7,1.7,1.7,1.7,1.5,South Africa,South Africa,Bafokeng-Rasimone,Ni
,Palladium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.05,0.97,1.38,2.12,2.15,2.31,2.42,3.1,2.5,2.16,2.14,2.2,2.2,2,South Africa,South Africa,Bafokeng-Rasimone,PGM
,Platinum  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.13,3.58,4.05,5.04,5.52,5.71,5.86,7.48,5.93,5.3,5.37,5.6,5.6,5.33,South Africa,South Africa,Bafokeng-Rasimone,PGM
,PGMs  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.22,5.38,6.08,8.13,8.74,9.01,9.55,11.86,9.78,8.45,8.54,8.6,5.6,5.33,South Africa,South Africa,Bafokeng-Rasimone,PGM
,Rhodium  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.01,0.12,0.23,0.33,0.35,0.36,0.47,0.44,0.41,0.33,0.37,0.4,0.4,0.3,South Africa,South Africa,Bafokeng-Rasimone,PGM
,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.05,0.05,0.05,0.07,0.09,0.09,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Baken,Dia
,Gold  (t),Active,  ..   , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Balmoral,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,15.311,13.717,12.816,12.909, ---  , ---  , ---  , ---  ,5.515,4.191,3.542,3.893,1.97,1.062,South Africa,South Africa,Bambanani,Au
,Coal  (Mt),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,3.548,2.985,3.006,3.224,2.732,3.202,0.477,0.052, ---  , ---  , ---  ,  ..   ,  ..   ,UK,South Africa,Bank,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.446,0.493,0.368,0.44,0.318,0.391,0.486,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Bankfontein,coal
,Gold  (t),Closed,1.48,1.49,1.28,1.165,1.259,1.46,1.36,1.371,0.9,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Barberton,Au
,Gold  (t),Operating,3.42,3.51,3.75,3.48,3.28,3.211,2.593,2,3.454,2.549,2.028,2.848,2.853,3.2,3.135,3.4,2.838,2.73,3.109,2.958,3.046,2.818,2.938,South Africa,South Africa,Barberton,Au
,Gold  (t),Operating,0.43, ---  , ---  ,0.6,0.65, ---  ,0.129,0.212, ---  , ---  , ---  , ---  , ---  , ---  ,0.053, ---  ,0.15, ---  , ---  , ---  , ---  ,0.054,0.153,Australia,South Africa,Barbrook,Au
,Copper  (kt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.1,0.1,0.1,0.1,UK,South Africa,Bathopele,Cu
,Gold  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.047,0.044,0.04,0.04,UK,South Africa,Bathopele,Au
,Nickel  (kt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.3,0.3,0.3,0.2,UK,South Africa,Bathopele,Ni
,Palladium  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,2.3,2.54,2.05,2.06,UK,South Africa,Bathopele,PGM
,Platinum  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,4.16,4.4,3.68,3.6,UK,South Africa,Bathopele,PGM
,PGMs  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,8.65,9.11,7.56,7.61,UK,South Africa,Bathopele,PGM
,Rhodium  (t),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.81,0.77,0.65,0.7,UK,South Africa,Bathopele,PGM
,Gold  (t),"Operating, exp/constr",13.05,12.67,12.39,13.23,13.064,14.592,15.27,15.143,14.971,15.009,15.141,19.256,20.628,20.499,19.054,18.979,18.697,15.022,12.696,12.443,11.715,10.787,8.98,South Africa,South Africa,Beatrix,Au
,Iron ore  (Mt),Operating,2.08,1.76,1.88,2.5,3.4,4.1,3.9,4.87,4.51,3.98,4.17,4.32,4.78,5.26,5.46,5.78,5.54,6.68,4.49,2.66,0.52,0.96,2,South Africa,South Africa,Beeshoek,Fe
,Gold  (t),Closed,0.25,1.35,1.53,1.47,1.5,1.7,2.143,0.569, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Benoni,Au
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  ,0.23,0.822,0.777,1.2,1.2,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Black,coal
,Copper  (kt),Operating,2.4,3.5,4,4.8,5.1,4.6,4.8,5.7,5.6,5.5,5,5.4,5.4,4.7,5.2,3.2,3.4,2.2,2.5,2.2,2.5,2.5,2.5,UK,South Africa,Black,Cu
,Lead  (kt),Operating,65.4,72.1,71.3,95.2,90.9,85,82.5,77.9,77.9,73.8,68.1,45.8,45.3,39.6,37.5,42.2,48.3,41.9,47,49.1,50.6,53.6,51,UK,South Africa,Black,Pb
,Silver  (t),Operating,80.22,91.91,92.84,117,118.5,90.13,102.39,92.44,98.97,95,95,63.24,66.56,50,45,50,50,45,55,60,55,55,53,UK,South Africa,Black,Ag
,Zinc  (kt),Operating,27.1,30.5,32.7,37.4,35.2,32,35,31.4,30.5,31.2,27.1,24.3,27.6,25.9,28.2,32.1,34.1,28.3,27.9,28.2,36.1,37,35,UK,South Africa,Black,Zn
,Manganese ore  (Mt),Operating,1.31,1.01,0.87,0.9,1.1,1.25,1.15,1.26,1.34,1.3,1.46,1.3,1.5,1.8,2,2,2.5,2.85,3.2,3,2.85,3.03,4,South Africa,South Africa,Black,Mn
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.417,0.501,0.52,0.724,0.621,0.636,1.199,1.33,1.31,1.26,1.46,1.45,  ..   ,UK,South Africa,Black,coal
,Diamond carats  (Mct),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0,0.01,0.01,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Bloeddrift,Dia
,Gold  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  ,0.007,0.021, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Canada,South Africa,Blue,Au
,Gold  (t),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.01,0.012, ---  , ---  ,Australia,South Africa,Blue,Au
,Palladium  (t),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.31,0.31, ---  ,  ..   ,Australia,South Africa,Blue,PGM
,Platinum  (t),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.62,0.63, ---  ,  ..   ,Australia,South Africa,Blue,PGM
,PGMs  (t),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.03,1.1, ---  ,  ..   ,Australia,South Africa,Blue,PGM
,Rhodium  (t),"Susp, restart/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.1,0.1, ---  ,  ..   ,Australia,South Africa,Blue,PGM
,Gold  (t),Operating,8.77,9.21,8.08,7.12,5.617,3.989,7.382,6.4,6.244,6.184,5.549,7.401,7.786, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Blyvooruitzicht,Au
,Uranium oxide  (kt),Operating, ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Blyvooruitzicht,U
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.241,0.84,0.993,1.259,1.212,1.25,1.131,0.843,0.92,  ..   ,South Africa,South Africa,Blyvooruitzicht,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,6.431,5.026,4.127,3.585,3.335,2.867,2.447,2.837,3.637,2.013,South Africa,South Africa,Blyvooruitzicht,Au
,Diamond carats  (Mct),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.02,0.02,0.02, ---  ,0.04,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Bokang,Dia
,Copper  (kt),Operating,  ..   ,  ..   ,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.8,0.8,0.9,0.8,1,0.7,0.4,0.4,0.4,0.4,0.4,UK,South Africa,Bokoni,Cu
,Gold  (t),Operating,0.07,0.08,0.13,0.15,0.15,  ..   ,  ..   ,0.15,0.155,0.16,0.14,0.16,0.18,0.19,0.19,0.18,0.19,0.16,0.13,0.12,0.11,0.1,0.1,UK,South Africa,Bokoni,Au
,Nickel  (kt),Operating,  ..   ,  ..   ,0.8,1,1.2,1.1,1.2,1.1,1.2,1.3,1.1,1.2,1.4,1.4,1.5,1.4,1.6,1.2,0.8,0.3,0.7,0.6,0.6,UK,South Africa,Bokoni,Ni
,Palladium  (t),Operating,0.7,0.8,0.75,0.9,0.95,1,1,1.02,1.15,1.1,1.11,1.73,2.03,2.14,2.43,2.38,2.35,1.97,1.57,1.25,1.31,1.25,1.2,UK,South Africa,Bokoni,PGM
,Platinum  (t),Operating,1.7,2,1.8,2.2,2.3,2.4,2.5,2.4,2.61,2.45,2.25,2.77,3.17,3.27,3.53,3.42,3.4,2.93,2.26,1.84,1.95,1.85,1.71,UK,South Africa,Bokoni,PGM
,PGMs  (t),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,4.17,3.93,3.72,5.04,5.99,6.27,6.91,6.77,6.74,5.84,4.59,3.7,3.85,3.66,3.2,UK,South Africa,Bokoni,PGM
,Rhodium  (t),Operating,  ..   ,  ..   ,0.1,0.13,0.14,0.14,0.14,0.14,0.16,0.14,0.14,0.22,0.3,0.33,0.36,0.36,0.37,0.34,0.24,0.22,0.2,0.19,0.15,UK,South Africa,Bokoni,PGM
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.13,1.82,1.881,1.998,1.939,2.152,2.842,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Switzerland,South Africa,Boschmans,coal
,Chromite  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,253,34, ---  ,602,1331, ---  , ---  , ---  , ---  ,Switzerland,South Africa,Boshoek,Cr
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,7.4,7.3,7.3,7.8,8.18,7.7,7.8,7.6,7.3,6.4,7.6,6.8,7.3,South Africa,South Africa,Bosjesspruit,coal
,Gold  (t),Suspended,2.05,1.84,1.78,0.49, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Bracken,Au
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,8.7,8.5,8.3,8.4,8.37,8.3,8.2,7.7,7.7,7.4,8,6.5,7.1,South Africa,South Africa,Brandspruit,coal
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,9.837,9.024,1.151,4.082,3.815,3.646,3.079,1.7,1.807,1.205,South Africa,South Africa,Buffelsfontein,Au
,Gold  (t),"Susp, restart/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.983,0.969,0.329, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Buffelsfontein,Au
,Chromite  (kt),"Operating, exp/plans", ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,400,400,300,500,570,550,UK,South Africa,Buffelsfontein,Cr
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.877,1.2,1.765,2.474,2.995,2.275,South Africa,South Africa,Buffelsfontein,Au
,Gold  (t),Suspended,13.63,12.24,12.91,14.51,11.162,8.856,7.059,7.6,6.447,5.554, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Buffelsfontein,Au
,Uranium oxide  (kt),Suspended,0.32,0.23, ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Buffelsfontein,U
,Gold  (t),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.727,0.571,Canada,South Africa,Burnstone,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.29,0.462,0.426,South Africa,South Africa,Central,Au
,Chromite  (kt),Operating,150,150,100,300,650,700,960,700,600,800,500,200,200,200,200,200,200,300,  ..   ,300,300,  ..   ,  ..   ,Germany,South Africa,Chrome,Cr
,Chromite  (kt),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  ,15, ---  , ---  , ---  , ---  , ---  , ---  ,23, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Switzerland,South Africa,Chrome,Cr
,Gold  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,City,Au
,Chromite  (kt),Suspended,250,250,150,200,320,350,350,300,300,300,200, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Switzerland,South Africa,CMI,Cr
,Manganese ore  (Mt),Non-active, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Consolidated,Mn
,Antimony  (kt),Operating,5.26,4.18,3.95,4.11,4.53,5.54,5.14,3.42,4.24,5.28,3.71,4.83,5.75,5.28,4.8,5.98,4.36,3.7,3.6,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Consolidated,Sb
,Gold  (t),Operating,0.5,0.72,1.14,1.3,1.13,0.8,0.75,0.8,0.9,0.95,0.85,1.05,0.903,0.808,0.717,0.8,0.581,0.53,0.5,0.4,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Consolidated,Au
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.24,0.2,0.831,1.74,1.579,0.264,Australia,South Africa,Cooke,Au
,Gold  (t),Operating,28.7,29.5,31.61,32.1,29.941,23.03,20.441,18.832,26,25.988,26.58,18.903,15.523,12.888,10.911, ---  , ---  ,6.595,4.892, ---  , ---  ,3.528,3.062,Australia,South Africa,Cooke,Au
,Uranium oxide  (kt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Australia,South Africa,Cooke,U
,Gold  (t),"Operating, exp/plans",  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.016,0.036,0.016,0.015,0.011,0.011,Canada,South Africa,Crocodile,Au
,Palladium  (t),"Operating, exp/plans",0.5,0.5,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.3,0.5,  ..   ,  ..   ,  ..   ,  ..   ,0.75,0.83,0.92,0.92,0.5,0.67,Canada,South Africa,Crocodile,PGM
,Platinum  (t),"Operating, exp/plans",1,2, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.5,1.1,0.5,  ..   ,  ..   ,  ..   ,1.71,1.83,2.02,2.05,1.4,1.5,Canada,South Africa,Crocodile,PGM
,PGMs  (t),"Operating, exp/plans",1.5,2.5, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.9,1.8,0.5,  ..   ,  ..   ,  ..   ,3.36,3.67,4.05,4.25,2.88,2.68,Canada,South Africa,Crocodile,PGM
,Rhodium  (t),"Operating, exp/plans",  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.1,0.2,  ..   ,  ..   ,  ..   ,  ..   ,0.26,0.31,0.34,0.36,0.2,0.26,Canada,South Africa,Crocodile,PGM
,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,3.5,4.695,5.934,5.072,5.235,4.175,3.82,3.75,3.241,2.829,2.612,2.4,3.022,1.447,  ..   ,South Africa,South Africa,Crown,Au
,Diamond carats  (Mct),"Operating, exp/plans",2.33,2.25,2.44,1.6,1.67,1.63,1.62,1.45,1.39,1.57,1.78,1.64,1.47,1.27,1.3,1.31,1.15,0.96,0.95,0.91,0.91,0.9,  ..   ,South Africa,South Africa,Cullinan,Dia
,Gold  (t),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.279,0.459,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,South Africa,South Africa,Daggafontein,Au
,Gold  (t),Operating,9.37,9.52,9.53,8.27,7.963,6.603,7.069,8.408,7.041,6,5.434,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Deelkraal,Au
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,2.318,2.25,1.64,1.24,1.305,1.424,1.96,1.9,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Delmas,coal
,Coal  (Mt),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.383,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,South Africa,South Africa,Delmas,coal
,Chromite  (kt),Operating,311,360,200,100,10, ---  , ---  ,25, ---  ,  ..   ,150,100,100,100,100,300,320,400,300,300,300,  ..   ,  ..   ,China,South Africa,Dilokong,Cr
